Time,Voltage,S,Current,S_in
369,0.30000000000000016,0.0,0.00036599999999999984,0.0
370,0.275,0.0,0.0003347499999999999,0.0
371,0.2499999999999999,0.0,0.00030349999999999984,0.0
372,0.2250000000000001,0.0,0.0002728799999999999,0.0
373,0.2,0.0,0.0002419999999999999,0.0
374,0.17499999999999988,0.0,0.00021146000000000007,0.0
375,0.15000000000000008,0.0,0.00018050000000000008,0.0
376,0.12499999999999994,0.0,0.00015003999999999994,0.0
377,0.09999999999999984,0.0,0.00011982999999999997,0.0
378,0.07500000000000004,0.0,8.997499999999991e-05,0.0
379,0.049999999999999926,0.0,6.000000000000002e-05,0.0
380,0.025000000000000112,0.0,3.000000000000001e-05,0.0
381,0.0,0.0,8.989999999999998e-08,0.0
382,0.0,0.0,8.989999999999998e-08,0.0
383,0.0,0.0,8.989999999999998e-08,0.0
384,0.0,0.0,8.989999999999998e-08,0.0
385,0.0,0.0,8.989999999999998e-08,0.0
386,0.0,0.0,8.989999999999998e-08,0.0
387,0.0,0.0,8.989999999999998e-08,0.0
388,0.0,0.0,8.989999999999998e-08,0.0
389,0.0,0.0,8.989999999999998e-08,0.0
390,0.0,0.0,8.989999999999998e-08,0.0
391,0.0,0.0,8.989999999999998e-08,0.0
392,0.0,0.0,8.989999999999998e-08,0.0
393,0.0,0.0,8.989999999999998e-08,0.0
394,0.0,0.0,8.989999999999998e-08,0.0
395,0.0,0.0,8.989999999999998e-08,0.0
396,0.0,0.0,8.989999999999998e-08,0.0
397,0.0,0.0,8.989999999999998e-08,0.0
398,0.0,0.0,8.989999999999998e-08,0.0
399,0.0,0.0,8.989999999999998e-08,0.0
400,0.0,0.0,8.989999999999998e-08,0.0
401,0.0,0.0,8.989999999999998e-08,0.0
402,0.0,0.0,8.989999999999998e-08,0.0
403,0.0,0.0,8.989999999999998e-08,0.0
404,0.0,0.0,8.989999999999998e-08,0.0
405,0.0,0.0,8.989999999999998e-08,0.0
406,0.0,0.0,8.989999999999998e-08,0.0
407,-0.025000000000000112,0.0,-2.8735e-05,0.0
408,-0.049999999999999926,0.0,-5.743299999999998e-05,0.0
409,-0.07500000000000004,0.0,-8.594999999999999e-05,0.0
410,-0.09999999999999984,0.0,-0.00011432999999999997,0.0
411,-0.12499999999999994,0.0,-0.00014283,0.0
412,-0.15000000000000008,0.0,-0.0001720000000000001,0.0
413,-0.17500000000000004,0.0,-0.00020117000000000005,0.0
414,-0.2,0.0,-0.0002303300000000001,0.0
415,-0.22499999999999995,0.0,-0.0002595000000000001,0.0
416,-0.2499999999999999,0.0,-0.00028867,0.0
417,-0.275,0.0,-0.0003178300000000001,0.0
418,-0.3,0.0,-0.0003469999999999999,0.0
419,-0.325,0.0,-0.0003761700000000001,0.0
420,-0.3500000000000001,0.0,-0.00040600000000000017,0.0
421,-0.3750000000000001,0.0,-0.0004355000000000001,0.0
422,-0.4,0.0,-0.0004650000000000001,0.0
423,-0.425,0.0,-0.0004948299999999999,0.0
424,-0.4499999999999999,0.0,-0.0005239999999999998,0.0
425,-0.475,0.0,-0.00055483,0.0
426,-0.5,0.0,-0.000585,0.0
427,-0.5249999999999999,0.0,-0.0006144999999999996,0.0
428,-0.55,0.0,-0.0006443299999999999,0.0
429,-0.5749999999999998,0.0,-0.0006749999999999999,0.0
430,-0.6,0.0,-0.0007050000000000003,0.0
431,-0.625,0.0,-0.0007358300000000001,0.0
432,-0.6499999999999999,0.0,-0.0007666699999999997,0.0
433,-0.675,0.0,-0.0007959999999999997,0.0
434,-0.7,0.0,-0.0008246700000000003,0.0
435,-0.725,0.0,-0.0008529999999999996,0.0
436,-0.7500000000000001,0.0,-0.000878,0.0
437,-0.775,0.0,-0.0008955,0.0
438,-0.8,0.0,-0.0009050000000000001,0.0
439,-0.825,0.0,-0.0008975000000000002,0.0
440,-0.85,0.0,-0.0008600000000000003,0.0
441,-0.875,0.0,-0.0008058299999999996,0.0
442,-0.9,0.0,-0.0008050000000000004,0.0
443,-0.9250000000000002,0.0,-0.0007525000000000001,0.0
444,-0.95,0.0,-0.0007039999999999997,0.0
445,-0.975,0.0,-0.0006190000000000003,0.0
446,-1.0,0.0,-0.00052367,0.0
447,-1.025,0.0,-0.0004626699999999998,0.0
448,-1.05,0.0,-0.0004509999999999999,0.0
449,-1.075,0.0,-0.0004326700000000002,0.0
450,-1.1,0.0,-0.00025299999999999997,0.0
451,-1.125,0.0,-0.00014400000000000006,0.0
452,-1.15,0.0,-0.00012366999999999996,0.0
453,-1.175,0.0,-0.00012417000000000005,0.0
454,-1.2,0.0,-0.00011999999999999995,0.0
455,-1.225,1.0,-0.00011899999999999995,0.0
456,-1.25,1.0,-0.00012533000000000002,1.0
457,-1.275,1.0,-0.0001325,1.0
458,-1.3,1.0,-0.00013767000000000006,1.0
459,-1.325,1.0,-0.00014000000000000004,1.0
460,-1.35,1.0,-0.00014499999999999995,1.0
461,-1.3749999999999998,1.0,-0.00014583,1.0
462,-1.4,1.0,-0.000154,1.0
